dlga_start:dialognotused|error
dlga_lord_mission_told_scout_waypoints:lord_mission_told_scout_waypoints_rejected|I fear I must decline.
dlga_lord_mission_told_scout_waypoints_accepted:close_window|Good {man/lass}! Simply pass near {s13}, {s14} and {s15} and check out what's there. Make a note of anything you find and return to me as soon as possible.
dlga_lord_mission_told_scout_waypoints_rejected:lord_pretalk|Hm. I'm disappointed, {playername}. Very disappointed. We'll talk later, I need to go and find somebody to scout for us.
dlga_lord_generic_mission_thank:lord_generic_mission_completed|You have been most helpful, {playername}. My thanks.
dlga_lord_generic_mission_completed:lord_pretalk|It was an honour to serve.
dlga_lord_start:lord_pay_debt_2|I think you owe me {reg1} denars, {playername}. Do you intend to pay your debt anytime soon?
dlga_lord_pay_debt_2:lord_pay_debt_3_1|That is why I came, {s65}. Here it is, every denar I owe you.
dlga_lord_pay_debt_2:lord_pay_debt_3_2|Alas, I don't have sufficient funds, {s65}. But I'll pay you soon enough.
dlga_lord_pay_debt_3_1:lord_pretalk|Ah, excellent. You are a {man/woman} of honour, {playername}. I am satisfied. Your debt to me has been paid in full.
dlga_lord_pay_debt_3_2:lord_pretalk|Well, don't keep me waiting much longer.
dlga_lord_start:lord_start.1|By the way, I hope you get a chance to meet my {s11}, {s14}.  
dlga_lord_start:lord_start.2|By the way, I am sure that my {s11}, {s14}, would be delighted were you to pay her a visit. She awaits you in her chambers.
dlga_lord_start:lord_buy_prisoner|I heard that you have captured our enemy {s3} and he is with you at the moment. I can pay you {reg6} denars for him if you want to get rid of him. You can wait for his family to pay his ransom of course, but there is no telling how long that will take, eh?
dlga_lord_buy_prisoner:lord_buy_prisoner_accept|I accept your offer. I'll leave {s3} to you for {reg6} denars.
dlga_lord_buy_prisoner:lord_buy_prisoner_deny|I fear I can't accept your offer.
dlga_lord_buy_prisoner_accept:lord_pretalk|Excellent! Here's your {reg6} denars. I'll send some men to take him to our prison with due haste.
dlga_lord_buy_prisoner_deny:lord_pretalk|Mmm. As you wish, {playername}, but you'll not get a better offer. Take it from me.
dlga_lord_start:lord_talk|I lift a {s5} to your health, {playername}! You are most gracious to host us on this occasion. Now, what is it?
dlga_lord_start:lord_talk.1|To your health, {sire/your Highness}. Long may you reign. What is your bidding?
dlga_lord_start:lord_talk.2|What is your bidding?
dlga_lord_start:lord_talk.3|I wish to welcome you to my hall on this auspicious occasion. Now, what is it?
dlga_lord_start:lord_talk.4|Let us lift a {s5} to the health of our host, {s4}. Now, what is it?
dlga_lord_talk:offer_gift_quest_complete|I have the materials for {s4}'s gift.
dlga_offer_gift_quest_complete:close_window|Ah, let me take those. Hopefully this will mend the quarrel between you two. You may wish to speak to {reg4?her:him}, and see if I had any success.
dlga_lord_talk:intrigue_quest_state_complaint|My lord -- there is something I wish to tell you in confidence, about one of your vassals.
dlga_intrigue_quest_state_complaint:lord_pretalk|Whatever you have to say, I would ask you to wait until we are alone.
dlga_intrigue_quest_state_complaint:intrigue_quest_state_complaint_plyr|What is it? I value your opinion, although I hope that you are not trying to sew dissension among my vassals? 
dlga_intrigue_quest_state_complaint_plyr:lord_intrigue_quest_complaint_stated|My liege -- {s4} is widely held by your vassals to be {s5}, and a liability to your realm
dlga_intrigue_quest_state_complaint_plyr:lord_pretalk|Actually, my liege, never mind.
dlga_lord_intrigue_quest_complaint_stated:lord_pretalk|Hmm... This is troubling to hear. Although I do not encourage my vassals to speak ill of each other, I value your opinion. Perhaps I should think twice about granting {s4} any further fiefs or offices...
dlga_lord_intrigue_quest_complaint_stated:intrigue_quest_state_complaint_failed|Sew discord among my vassals, will you? With everything else going on, do you think I appreciate my nobles turning on each other like quarreling dogs? Let me ask you this -- did someone put you up this?
dlga_intrigue_quest_state_complaint_failed:intrigue_quest_state_accept_blame|I stand by my words, my liege.
dlga_intrigue_quest_state_complaint_failed:intrigue_quest_state_deflect_blame|Yes, sire -- {s4} put me up to denouncing {s5}!
dlga_intrigue_quest_state_accept_blame:lord_pretalk|Indeed. You may stand by your words, but keep them to yourself. I will not have you undercutting my faithful follower {s4}.
dlga_intrigue_quest_state_deflect_blame:lord_pretalk|I thought as much. Here's some advice for you, {lad/lassie} -- don't meddle in the quarrels of others. Now, enough of this.
dlga_lord_talk:lord_denounce_1|I want to tell you something -- we have had enough of your {s4} ways
dlga_lord_denounce_1:lord_denounce_2|I'm sorry... What did you say?
dlga_lord_denounce_2:lord_denounce_3|You heard me. You will {s4}
dlga_lord_denounce_2:lord_pretalk|Never mind. You must have misheard me.
dlga_lord_denounce_3:close_window|Why would you say such a thing? To insult me like this, in spite of our friendship -- how much crueler is a knife in my back from an erstwhile friends, than the sword of a sworn foe. I do not know what game you are playing, but I want no part of it. Go away. I do not want to look at you.
dlga_lord_denounce_3:close_window.1|Hmf. Really? Is that your opinion, or did one of my rivals put those words in your mouth? Never mind. I will not play your game. Go away, and take your intrigues with you.
dlga_lord_denounce_3:lord_denounce_4|I will not have you shame me in public, {sir/my lady}. Retract your words, or meet me on the duelling ground.
dlga_lord_denounce_3:lord_denounce_4.1|Is that so? Well, hear this -- you're a snake, and a knave, and -- if you don't meet me on the duelling ground -- a coward. What say you to that? Do you retract your words, or shall we cross swords?
dlga_lord_denounce_4:lord_respond_to_insult_challenge_duel_confirm|It would be a pleasure to fight you.
dlga_lord_denounce_4:lord_denounce_retract|I spoke rashly. I retract my words.
dlga_lord_denounce_retract:lord_pretalk|I thought as much. Now, be gone from here.
dlga_lord_talk:lord_respond_to_insult|{s9}
dlga_lord_pretalk:party_encounter_lord_hostile_attacker_2|But enough talking - yield or fight!
dlga_lord_pretalk:lord_talk|Anything else?
dlga_hero_pretalk:lord_talk|Anything else?
dlga_lord_talk:lord_quarrel_intervention_1|I wish to address your quarrel with {s11}
dlga_lord_talk:lord_recruit_1_relation|Stay your hand! There is something I must say to you in private.
dlga_lord_talk:lord_bandit_information|I am hunting a group of bandits with the following description... Have you seen them?
dlga_lord_bandit_information:lord_pretalk|{s15}
dlga_lord_talk:lord_internal_politics_cur_stance|Who do you think should be made the marshal of our realm?
dlga_lord_talk:lord_internal_politics_cur_stance.1|Whom do you think should receive the fief of {s4}?
dlga_lord_talk:lord_husband_auto_recruit|I need you to renounce your allegiance to {s4} and join the {s5} now, my husband.
dlga_lord_husband_auto_recruit:lord_pretalk|Ask me again when we are outside of these walls, my wife.
dlga_lord_husband_auto_recruit:close_window|As you wish, my wife.
dlga_lord_talk:lord_recruit_1_relation.1|There is a matter which I would like to discuss in private.
dlga_lord_talk:lord_recruit_1_relation.2|There is something which I would like to discuss with to you in private.
dlga_lord_talk:lord_talk|CHEAT -- Reset lord decision seed and intrigue impatience
dlga_lord_talk:lord_respond_to_insult_challenge_duel|CHEAT -- Let's duel (insult)
dlga_lord_respond_to_insult:lord_pretalk|Hah! I admire a quick tongue. Perhaps some day I shall remove it, with tongs, to admire it at greater leisure, but today, at least, I shall salute your wit and courage.
dlga_lord_respond_to_insult:lord_pretalk.1|I meant no offense, madame.
dlga_lord_respond_to_insult:lord_respond_to_insult_challenge_battle|Are you trying to provoke me? Well, I would have you know that I am under no obligation to duel women, commoners, rebels, or brigands. I could, however, order my men to seize you and horsewhip you. Would you like them to do that?
dlga_lord_respond_to_insult:lord_respond_to_insult_challenge_duel|Are you trying to provoke me? Well, I would have you know that I am under no obligation to duel women, commoners, rebels, or brigands. However, in your case, I would be delighted to make an exception. Are you ready for a lesson in deference to your betters, {varlot/girl}?
dlga_lord_respond_to_insult:close_window|Are you trying to provoke me? Well, I would have you know that I am under no obligation to duel women, commoners, rebels, or brigands. You are lucky that I am in a good mood, because I am perfectly within my rights to order my men to seize you and horsewhip you. Now begone -- I have had enough of you.
dlga_lord_respond_to_insult_challenge_battle:lord_respond_to_insult_challenge_battle_confirm|I would like to see them try.
dlga_lord_respond_to_insult_challenge_battle:close_window|This is not worth the shedding of blood.
dlga_lord_respond_to_insult_challenge_battle_confirm:close_window|Enough of your insolence! At {him/her}, lads!
dlga_lord_respond_to_insult_challenge_duel:lord_respond_to_insult_challenge_duel_confirm|I am ready to teach you one.
dlga_lord_respond_to_insult_challenge_duel:close_window|This is not worth the shedding of blood.
dlga_lord_respond_to_insult_challenge_duel_confirm:close_window|So be it. Defend yourself!
dlga_lord_quarrel_intervention_1:lord_quarrel_intervention_2|{s14}
dlga_lord_quarrel_intervention_2:lord_quarrel_intervention_3a|Ah, well. It sounds like you're in the right, then.
dlga_lord_quarrel_intervention_2:lord_quarrel_intervention_3b|Whatever your differences, I want you to settle them.
dlga_lord_quarrel_intervention_2:lord_quarrel_intervention_3b.1|Could you not be convinced to settle your differences?
dlga_lord_quarrel_intervention_2:lord_pretalk|On second thought, I want nothing to do with this.
dlga_lord_quarrel_intervention_3a:lord_pretalk|I'm glad that you think so.
dlga_lord_quarrel_intervention_3b:lord_quarrel_intervention_4|For the sake of our friendship, I defer to your judgment. I will try to make amends with {s11}.
dlga_lord_quarrel_intervention_3b:lord_pretalk|I will not reconcile with {s11}. I know my rights.
dlga_lord_quarrel_intervention_4:lord_pretalk|Let it be as though our quarrel never occurred.
dlga_lord_quarrel_intervention_4:lord_pretalk.1|I suppose that you should speak to {s11}, and see if he will do the same for me.
dlga_lord_internal_politics_cur_stance:lord_internal_politics_cur_stance_plyr_response|I had already made up my mind to support you.
dlga_lord_internal_politics_cur_stance:lord_internal_politics_cur_stance_plyr_response.1|I am unable to decide at this time
dlga_lord_internal_politics_cur_stance:lord_internal_politics_cur_stance_plyr_response.2|I support {s15}. {s10}
dlga_lord_internal_politics_cur_stance_plyr_response:lord_internal_politics_plyr_choose_candidate|Let me tell you whom I support...
dlga_lord_internal_politics_cur_stance_plyr_response:lord_internal_politics_cur_stance_plyr_response|CHEAT -- Reset support
dlga_lord_internal_politics_plyr_choose_candidate:lord_internal_politics_plyr_choose_candidate_select|Whom do you support?
dlga_lord_internal_politics_plyr_choose_candidate_select:lord_internal_politics_pretalk|I would like to nominate myself for that honor
dlga_lord_internal_politics_plyr_choose_candidate_select:lord_internal_politics_pretalk.1|I support my husband, {s4}
dlga_lord_internal_politics_plyr_choose_candidate_select:lord_internal_politics_support_acknowledge|I would support you, {s4}
dlga_lord_internal_politics_plyr_choose_candidate_select:lord_internal_politics_support_same_acknowledge|I would support your choice, {s4}
dlga_lord_internal_politics_plyr_choose_candidate_select:lord_pretalk|Never mind
dlga_lord_internal_politics_support_acknowledge:lord_pretalk|That is most gracious of you, but I do not seek the honor, and I decline your support.
dlga_lord_internal_politics_support_acknowledge:lord_pretalk.1|I do not trust you, and I do not need your support.
dlga_lord_internal_politics_support_acknowledge:lord_pretalk.2|That is most gracious of you
dlga_lord_internal_politics_support_same_acknowledge:lord_pretalk|You may tell him that yourself. I do not trust you, and I will have no part in any game which you are playing.
dlga_lord_internal_politics_support_same_acknowledge:lord_pretalk.1|Given your relation with {s4}, I do not think that he would welcome your support.
dlga_lord_internal_politics_support_same_acknowledge:lord_pretalk.2|I will tell {s4}. He will no doubt be grateful for your support.
dlga_lord_internal_politics_plyr_choose_candidate_select:lord_internal_politics_pretalk.2|I support {s4}
dlga_lord_internal_politics_pretalk:lord_internal_politics_cur_stance_plyr_response|Ah. Most interesting.
dlga_lord_internal_politics_cur_stance_plyr_response:lord_internal_politics_plyr_request_support|Can I convince you to support me instead?
dlga_lord_internal_politics_cur_stance_plyr_response:lord_pretalk|Anyway, enough of politics for the time being.
dlga_lord_internal_politics_plyr_request_support:lord_pretalk|You have engendered too much controversy to be a viable candidate right now. I would advise you to wait a little while before seeking any further honors for yourself.
dlga_lord_internal_politics_plyr_request_support:lord_pretalk.1|I am sorry. I would not wish to strain my relationship with {s4}
dlga_lord_internal_politics_plyr_request_support:lord_pretalk.2|You have already been well-rewarded with fiefs appropriate to your accomplishments, I would say.
dlga_lord_internal_politics_plyr_request_support:lord_pretalk.3|I think you would need to prove yourself further before you are eligible for that position.
dlga_lord_internal_politics_plyr_request_support:lord_pretalk.4|Hmm... That is too much to ask, given the state of our relationship. 
dlga_lord_internal_politics_plyr_request_support:lord_pretalk.5|I would support you with pleasure. 
dlga_lord_recruit_1_relation:lord_pretalk|I am a bit weary of talking politics. Perhaps at a later date
dlga_lord_recruit_1_relation:lord_pretalk.1|{s12}
dlga_lord_recruit_1_relation:lord_recruit_pretender|You have raised the standard of rebellion on behalf of {s16}. Have you come to plead {reg3?her:his} case?
dlga_lord_recruit_pretender:lord_recruit_3_dilemma_1|I have
dlga_lord_recruit_pretender:lord_recruit_1_relation|No, that's not it. There's another issue I wish to discuss.
dlga_lord_recruit_1_relation:lord_pretalk.2|{s12}
dlga_lord_recruit_1_relation:lord_recruit_2|{s12}
dlga_lord_recruit_2:lord_recruit_2_philosophy|What do you think, in general terms, about kings, lords, and politics?
dlga_lord_recruit_2:lord_spouse_leave_faction|My husband, I believe that you should rethink you allegiance to {s11}
dlga_lord_spouse_leave_faction:lord_spouse_leave_faction_2|{s9} has always been a good liege to me, but I will hear you out. What do you suggest we do?
dlga_lord_spouse_leave_faction:lord_spouse_leave_faction_2.1|I see no particular reason to abandon {s9}, but I will heed your advice. What do you suggest we do?
dlga_lord_spouse_leave_faction:lord_spouse_leave_faction_2.2|Yes -- as a liege, {s9} is a great disappointment. What do you suggest we do?
dlga_lord_spouse_leave_faction_2:lord_spouse_leave_faction_husband_king|I believe you should be king, my husband!
dlga_lord_spouse_leave_faction_2:lord_spouse_leave_faction_proclaim_queen|I am the rightful queen of Calradia
dlga_lord_spouse_leave_faction_2:lord_pretalk|Never mind
dlga_lord_spouse_leave_faction_husband_king:lord_pretalk|Perhaps some day, my wife -- but before I declare myself king, I should like for one of us to hold a fortress which could serve as our court before we declare ourselves publically.
dlga_lord_spouse_leave_faction_proclaim_queen:lord_pretalk|While I do not contest your claim, my wife, I should like for one of us to hold a fortress which could serve as our court before we declare ourselves publically.
dlga_lord_spouse_leave_faction_proclaim_queen:lord_spouse_leave_faction_proclaim_queen_confirm|{s11}
dlga_lord_spouse_leave_faction_proclaim_queen:lord_pretalk.1|{s11}
dlga_lord_spouse_leave_faction_proclaim_queen_confirm:close_window|I am ready now, my husband. Let us go forth to seek our throne.
dlga_lord_spouse_leave_faction_proclaim_queen_confirm:lord_pretalk|Perhaps I am not yet ready.
dlga_lord_spouse_leave_faction_husband_king:lord_pretalk.1|Perhaps, but I would need your full support to press that claim. You would want to resolve {s4}'s rebellion before pushing this any further.
dlga_lord_spouse_leave_faction_husband_king:lord_spouse_leave_faction_husband_king_2|Most of the great families of this land have a claim to the throne... Given the recent issues with the succession, I should be as legitimate a king as {s4}. 
dlga_lord_spouse_leave_faction_husband_king_2:lord_spouse_leave_faction_husband_king_3|While king, I will defer to your judgment in the appointment of ministers, the conduct of diplomacy, and other such matters.
dlga_lord_spouse_leave_faction_husband_king_3:close_window|Very well, my husband. Let us ride forth to press your claim! 
dlga_lord_spouse_leave_faction_husband_king_3:lord_pretalk|Actually, let us bide out time for a bit.
dlga_lord_recruit_2_philosophy:lord_recruit_2|{s43} Did you wish to speak of anything else?
dlga_lord_recruit_2:lord_recruit_2_discontent|How do you feel about {s15}?
dlga_lord_recruit_2:lord_recruit_3_a|Do you remember what I had told you earlier?
dlga_lord_recruit_2:lord_recruit_quarrel_describe|I have heard that you have quarreled with {s16}
dlga_lord_recruit_quarrel_describe:lord_recruit_2|It is no secret. {s14}
dlga_lord_recruit_2:lord_pretalk|Never mind
dlga_lord_recruit_2_discontent:lord_recruit_2_discontent_b|{s12}
dlga_lord_recruit_2_discontent:lord_recruit_hesitant|{s12}
dlga_lord_recruit_2_discontent_b:lord_recruit_3|Sometimes, I do worry about the state of the realm.
dlga_lord_recruit_hesitant:lord_recruit_hesitant_persuade|Can't I persuade you to say a little more?
dlga_lord_recruit_hesitant:lord_pretalk|Ah. Very good.
dlga_lord_recruit_hesitant_persuade:lord_recruit_3|If you put it that way, I admit that I do sometimes worry about the state of the realm.
dlga_lord_recruit_hesitant_persuade:lord_pretalk|You try my patience. I said that I have nothing to say.
dlga_lord_recruit_3:lord_recruit_3_a|Well, I have something to tell you.
dlga_lord_recruit_3:lord_pretalk|Well, that's interesting to know. But enough about politics.
dlga_lord_recruit_3_a:lord_recruit_3_reset_claim|{s12}
dlga_lord_recruit_3_reset_claim:lord_recruit_3_claim|Yes, that's it.
dlga_lord_recruit_3_reset_claim:lord_recruit_3_a_reset|Let me phrase that a little differently.
dlga_lord_recruit_3_a:lord_recruit_3_b|Yes?
dlga_lord_recruit_3_a_reset:lord_recruit_3_b|Yes?
dlga_lord_recruit_3_b:lord_recruit_3_why|I ask for your support for the throne of Calradia
dlga_lord_recruit_3_b:lord_recruit_3_why.1|I ask you to pledge allegiance to my liege, {s45}, as monarch of all Calradia
dlga_lord_recruit_3_b:lord_pretalk|Never mind
dlga_lord_recruit_3_dilemma_1:lord_recruit_3_dilemma_2|{s43}
dlga_lord_recruit_3_dilemma_2:lord_recruit_3_why|{s43}
dlga_lord_recruit_3_why:lord_pretalk|Neither of us has so much as a single fortress to our name. Would you rule your kingdom from an outlaw's den in the woods?
dlga_lord_recruit_3_why:lord_recruit_3_d|Why should I support {s44}?
dlga_lord_recruit_3_d:lord_recruit_3_claim|{s43}
dlga_lord_recruit_3_d:lord_recruit_3_claim.1|If {s45} were {s47}, {s45} would deal with all men fairly and uphold the rights of the commons.
dlga_lord_recruit_3_d:lord_recruit_3_claim.2|If {s45} were {s47}, {s45} would uphold your ancient rights as a noble of this land.
dlga_lord_recruit_3_d:lord_recruit_3_claim.3|Because {s45} can unify Calradia and end this discord.
dlga_lord_recruit_3_d:lord_recruit_3_claim.4|Because {s45} will reward you with lands.
dlga_lord_recruit_3_d:lord_pretalk|Never mind
dlga_lord_recruit_3_claim:lord_recruit_3_claim|Do you perhaps tell each person what you think they most want to hear? {s12}
dlga_lord_recruit_3_claim:lord_recruit_4|{s12}
dlga_lord_recruit_3_claim:lord_pretalk|{s12}
dlga_lord_recruit_4:lord_recruit_4_objective_conditions|I ask you to pledge your allegiance to {s16}.
dlga_lord_recruit_4:lord_pretalk|Never mind.
dlga_lord_recruit_4_objective_conditions:lord_recruit_5_security|Let me think...
dlga_lord_recruit_5_security:lord_recruit_5_political|{s32}
dlga_lord_recruit_5_political:lord_recruit_5_ideological|{s31}
dlga_lord_recruit_5_ideological:lord_recruit_5_change_sides|{s33}
dlga_lord_recruit_5_change_sides:lord_recruit_6|{s34}
dlga_lord_recruit_6:lord_recruit_6_reaction|It is time for you to make a decision.
dlga_lord_recruit_6:lord_pretalk|No need to decide anything -- we can speak of this at a later time.
dlga_lord_recruit_6_reaction:lord_recruit_7_decision|Very well...
dlga_lord_recruit_7_decision:lord_pretalk|{s12}
dlga_lord_recruit_7_decision:lord_recruit_pledge|Very well -- I am ready to pledge myself to {s4} as my {reg4?queen:king}.
dlga_lord_recruit_pledge:lord_recruit_pledge|Remember. You have promised me a fief. I will hold you to that promise.
dlga_lord_recruit_pledge:lord_recruit_pledge_conclude|So be it -- I pledge allegiance to you as your faithful vassal. I shall stand at your side to fight your enemies should you need my sword, and uphold your claims and those of your legitimate heirs. I expect in turn that you will protect me and recognize my rights as your vassal.
dlga_lord_recruit_pledge:lord_recruit_pledge_conclude.1|So be it -- you may inform {s4} that I am now {reg4?her:him} faithful vassal, that I will follow {reg4?her:him} as long as my breath remains, and I will be at {reg4?her:his} side to fight your enemies should you need my sword, and that I uphold your lawful claims and those of your legitimate heirs. In turn, I expect his protection and his recognition of my rights as his vassal.
dlga_lord_recruit_pledge_conclude:close_window|Now... It is a momentous step I have taken. I will take my leave, as I may need some time prepare myself for what comes next.
dlga_lord_start:close_window.3|I received the gift, presented to me through my {s11} {s10}. It was a noble gesture, {sir/my lady}, and I regret that we ever quarreled.
dlga_lord_start:close_window.4|I received the gift, presented to me through my {s11} {s10}. For {reg4?her:his} sake, I am willing to let bygones be bygones.
dlga_lord_start:close_window.5|I received the gift, presented to me through my {s11} {s10}. Bah! Do you think you can buy my friendship?
dlga_lord_start:close_window.6|I received the gift, presented to me through my {s11} {s10}. As dear as {reg?she:he} is to me, however, I cannot forget our differences.
dlga_lord_talk:denounce_lord_results|I did as you suggested, and denounced {s4}
dlga_denounce_lord_results:lord_pretalk|Yes, and hopefully now {s4} will think twice before entrusting him with any additional fiefs, honors, or offices. We are grateful to you.
dlga_denounce_lord_results:close_window|So you did -- and we have heard that he forced you to retract your words, and thus emerged from this affair looking stronger than before. You will forgive me, {sir/my lady}, if my gratitude to you is somewhat muted.
dlga_lord_talk:lord_quest_intrigue_result|I did as you asked, and spoke to {s5} about the danger posed by {s4}.
dlga_lord_quest_intrigue_result:lord_pretalk|So we hear. Hopefully now {s5} will think twice before entrusting him with any additional fiefs, honors, or offices. We are grateful to you.
dlga_lord_quest_intrigue_result:close_window|So we hear -- but alas, {s5} seems not to have listened. Still, we are grateful to you for trying.
dlga_lord_talk:lord_lend_companion_end|I should like {s14} returned to me, {s65}, if you no longer require {reg3?her:his} services.
dlga_lord_lend_companion_end:lord_pretalk|You've too many men in your company already, {playername}. You could not lead any more at the moment.
dlga_lord_lend_companion_end:lord_pretalk.1|Certainly, {playername}. {reg3?She:He} is a bright {reg3?girl:fellow}, you're a lucky {man/woman} to have such worthy companions.
dlga_lord_talk:lord_ask_to_collect_debt|I've come to collect the debt you owe to {s1}.
dlga_lord_ask_to_collect_debt:lord_ask_to_collect_debt_2|Oh. Well, {s1} did lend me some silver a ways back, but I've done him many favours in the past and I consider that money as my due payment.
dlga_lord_ask_to_collect_debt_2:convince_begin|{s1} considers it a debt. He asked me to speak to you on his behalf.
dlga_lord_ask_to_collect_debt_2:lord_pretalk|Then I will not press the matter any further.
dlga_convince_accept:close_window|My debt to {s8} has long been overdue and was a source of great discomfort to me. Thank you for accepting to take the money to him. Please give him these {reg10} denars and thank him on my behalf.
dlga_lord_talk:lord_ask_to_make_peace|Please, {s64}, it's time to end this war between {s12} and {s13}.
dlga_lord_ask_to_make_peace:lord_ask_to_make_peace_2|Eh? I'm not sure I heard you right, {playername}. War is not easily forgotten by either side of the conflict, and I have a very long memory. Why should I take any interest in brokering peace with those dogs?
dlga_lord_ask_to_make_peace_2:convince_begin|Perhaps I can talk you into it...
dlga_lord_ask_to_make_peace_2:lord_pretalk|Never mind, peace can wait for now.
dlga_convince_accept:close_window.1|You... have convinced me, {playername}. Very well then, you've my blessing to bring a peace offer to {s14}. I cannot guarantee they will accept it, but on the off-chance they do, I will stand by it.
dlga_lord_talk:lord_challenge_duel_for_lady|I want you to take back your accusations against {s1}.
dlga_lord_challenge_duel_for_lady:lord_challenge_duel_for_lady_2|What accusations? Everyone knows that she beds her stable boys and anyone else she can lay hands on while her husband is away. I merely repeat the words of many.
dlga_lord_challenge_duel_for_lady_2:lord_challenge_duel|You will recant these lies, sirrah, or prove them against my sword!
dlga_lord_challenge_duel_for_lady_2:lord_pretalk|If you say so...
dlga_lord_challenge_duel:close_window|{s15}
dlga_lord_talk:lord_challenge_courtship_rival|Relinquish your suit of {s5}!
dlga_lord_challenge_courtship_rival:lord_challenge_courtship_rival_2|Or what? Do you intend to duel over a lady? I'll let you know -- our liege frowns on this sort of hot-headed challenge, when every man must stand together against the foreign foe.
dlga_lord_challenge_courtship_rival_2:lord_challenge_duel|Do you fear to fight me?
dlga_lord_challenge_courtship_rival_2:lord_pretalk|My pardon. I have spoken rashly...
dlga_lord_talk:lord_message_delivered|I bring a message from {s9}.
dlga_lord_message_delivered:lord_pretalk|Oh? Let me see that... Well, well, well! It was good of you to bring me this, {playername}. Take my seal as proof that I've received it, and give my regards to {s9} when you see him again.
dlga_lord_talk:lord_message_delivered_enemy|I bring a message from {s9}.
dlga_lord_message_delivered_enemy:close_window|Oh? Let me see that... Hmmm. It was good of you to bring me this, {playername}. Take my seal as proof that I've received it, with my thanks.
dlga_lord_talk:lord_deliver_message_prisoner|I bring a message from {s11}.
dlga_lord_deliver_message_prisoner:lord_deliver_message_prisoner_2|Can it be true? Oh, thank you kindly, {playername}! You have brought hope and some small ray of light to these bleak walls. Perhaps one day I will be able to repay you.
dlga_lord_deliver_message_prisoner_2:lord_deliver_message_prisoner_2a| 'Twas the least I could do, {s65}.
dlga_lord_deliver_message_prisoner_2a:close_window|You've no idea how grateful I am, {playername}. A thousand thanks and more.
dlga_lord_deliver_message_prisoner_2:lord_deliver_message_prisoner_2b|Worry not, {s65}. You'll have ample opportunity once you are free again.
dlga_lord_deliver_message_prisoner_2b:close_window|Hah, of course, {playername}. My eternal thanks go with you.
dlga_lord_talk:lord_rescue_by_replace_offer|Fear not, I am here to rescue you.
dlga_lord_rescue_by_replace_offer:lord_rescue_by_replace_offer_2|By God, are you serious? What is your plan?
dlga_lord_rescue_by_replace_offer_2:lord_rescue_by_replace_offer_3|A simple ruse, {s65}. If we exchange garments, I shall take your place here in prison, while you make your escape disguised as myself. I paid the guards a handsome bribe, with which I am sure they have already purchased half the wine stocks of the nearest tavern. With some luck they'll soon get so drunk they'd have trouble recognising their own mothers, let alone telling one of us from the other. At least not until you are safely away.
dlga_lord_rescue_by_replace_offer_3:lord_rescue_by_replace_offer_4|Hmm, it might just work... But what of you, my {friend/lady}? The guards won't take kindly to this trickery. You may end up spending some time in this cell yourself.
dlga_lord_rescue_by_replace_offer_4:lord_rescue_by_replace_offer_5a|Not to worry, {s65}. The place is already starting to grow on me.
dlga_lord_rescue_by_replace_offer_4:lord_rescue_by_replace_offer_5b|I shall be fine as long there is an ample reward waiting at the end.
dlga_lord_rescue_by_replace_offer_5a:lord_rescue_by_replace_offer_6|You are a brave soul indeed. I won't forget this.
dlga_lord_rescue_by_replace_offer_5b:lord_rescue_by_replace_offer_6|Of course, my {friend/lady}, of course! Come to me when you have regained your freedom, and perhaps I shall be able to repay the debt I owe you.
dlga_lord_rescue_by_replace_offer_6:close_window|Quickly, {s65}, let us change garments. It is past time you were away from here.
dlga_lord_talk:lord_ask_pardon_after_oath_renounced|{s66}, I wish to restore my old oath to {s4}.
dlga_lord_ask_pardon_after_oath_renounced:lord_pretalk|That is too great a matter for me to decide, {playername}. You should seek out {s4}. Such clemency is his alone to grant or deny.
dlga_lord_ask_pardon_after_oath_renounced:lord_ask_pardon_terms|{s11}.
dlga_lord_ask_pardon_terms:lord_pretalk|As you like, {s65}. I will accept your judgment.
dlga_lord_ask_pardon_terms:lord_pretalk.1|A shame, {s65}. A shame.
dlga_lord_ask_pardon_terms:lord_pretalk.2|Very well, go and die without me.
dlga_lord_ask_pardon_terms:lord_ask_pardon_after_renounce_peace|Aye, I am ready.
dlga_lord_ask_pardon_terms:lord_ask_pardon_terms_rejected|On second thought, no. I don't wish to be in your service again.
dlga_lord_ask_pardon_terms:lord_ask_pardon_after_renounce_peace.1|Aye, I agree to those terms.
dlga_lord_ask_pardon_terms:lord_ask_pardon_terms_rejected.1|That is too high a price, {s65}. I must decline.
dlga_lord_ask_pardon_after_renounce_peace:lord_pretalk|Excellent. Though you strayed from us, {playername}, it gladdens all our hearts that you have found your way back to the right path. I hereby restore your homage to me. Rise once more as an honoured {man/warrior} in my service.
dlga_lord_ask_pardon_terms_rejected:close_window|Then get out of my sight, traitor! Begone with you, and do not come back!
dlga_lord_talk:lord_ask_pardon|I wish to make peace with the {s4}.
dlga_lord_ask_pardon:lord_pretalk|Do you indeed, {playername}? Then go and trip on your sword. Give us all peace.
dlga_lord_ask_pardon:lord_pretalk.1|{playername}, you are a {lord/lady} without a master, holding lands in your name, with only the barest scrap of a claim to legitimacy. No king in Calradia would accept a lasting peace with you.
dlga_lord_ask_pardon:lord_pretalk.2|Make peace when I have you at an advantage? I think not.
dlga_lord_ask_pardon:lord_pretalk.3|I do not see it as being in my current interest to make peace.
