dlga_start:dialognotused|error, 
dlga_lord_ask_leave_service_end:lord_ask_leave_service_end_2.1|My thanks. It feels good to be {a free man/free} once again.
dlga_lord_ask_leave_service_end_2:close_window|Farewell then, {playername}, and good luck go with you.
dlga_lord_active_mission_1:lord_lend_companion_end|Oh, you want your companion back? I see...
dlga_lord_active_mission_1:lord_pretalk|{playername}, I must beg your patience, I still have need of your companion. Please return later when things have settled.
dlga_lord_active_mission_1:lord_active_mission_2|Yes, have you made any progress on it?
dlga_lord_active_mission_2:lord_generic_mission_thank|Indeed. I brought you {reg1} {s1} as prisoners.
dlga_lord_active_mission_2:capture_enemy_hero_thank|Oh, indeed. I've captured a lord from {s13} for you.
dlga_capture_enemy_hero_thank:capture_enemy_hero_thank_2|Many thanks, my friend. He will serve very well for a bargain. You've done a fine work here. Please accept these {reg5} denars for your help.
dlga_capture_enemy_hero_thank_2:lord_pretalk|Certainly, {s65}.
dlga_capture_enemy_hero_thank_2:lord_pretalk.1|It was nothing.
dlga_capture_enemy_hero_thank_2:lord_pretalk.2|Give me more of a challenge next time.
dlga_lord_active_mission_2:lord_raise_troops_thank|Indeed. I have raised {reg1} {s13}. You can take them.
dlga_lord_raise_troops_thank:lord_raise_troops_thank_2|These men may well turn the tide in my plans, {playername}. I am confident you've trained them well. My thanks and my compliments to you.
dlga_lord_raise_troops_thank_2:lord_pretalk|Well, the lads are at your command now, sir. I am sure you will take good care of them.
dlga_lord_active_mission_2:lord_collect_taxes_success|Here are all the taxes from {s3}. It comes up to {reg19} denars.
dlga_lord_active_mission_2:lord_collect_taxes_half_success|Here are the taxes from {s3}. It comes up to {reg19} denars.
dlga_lord_active_mission_2:lord_collect_taxes_fail|Unfortunately, a revolt broke up while I was collecting the taxes. I could only collect {reg19} denars.
dlga_lord_collect_taxes_success:lord_pretalk|Well done, {playername}, very well done indeed! You were truly the right {man/person} for the job. I promised you a fifth of the taxes, so that amounts to {reg21} denars. If you give me {reg20} denars, you may keep the difference. A good result for everyone, eh?
dlga_lord_collect_taxes_half_success:lord_pretalk|What?! Is this some scheme of yours, {playername}? That's less than half the taxes I'm owed! You have let them get away with murder as well as my money. What a farce! You can forget the money I promised you, I'm taking {reg20} denars from what you collected, and you're lucky I'm leaving you a few coins for honour's sake.
dlga_lord_collect_taxes_fail:lord_pretalk|God, what a bloody mess you've gotten us into, {playername}.This could turn very ugly if I do not take immediate action.I certainly hope you're not here expecting to be paid for failure.Hand over my {reg19} denars, if you please, and end our business together.
dlga_lord_active_mission_2:lord_hunt_down_fugitive_success|I found {s4} hiding at {s3} and gave him his punishment.
dlga_lord_active_mission_2:lord_hunt_down_fugitive_fail|I'm afraid he got away.
dlga_lord_hunt_down_fugitive_success:lord_hunt_down_fugitive_success_2|And we'll all be a lot better off without him! Thank you, {playername}, for removing this long-festering thorn from my side. 'Tis good to know you can be trusted to handle things with an appropriate level of tactfulness. A bounty I promised, and a bounty you shall have. 300 denars and not a copper less!
dlga_lord_hunt_down_fugitive_success_2:lord_hunt_down_fugitive_reward_accept|Let me take the money, {s65}. Thank you.
dlga_lord_hunt_down_fugitive_success_2:lord_hunt_down_fugitive_reward_reject|This is blood money. I can't accept it.
dlga_lord_hunt_down_fugitive_reward_accept:lord_pretalk|Of course, {playername}. Here you are. Once again, you've my thanks for ridding me of that {s43}.
dlga_lord_hunt_down_fugitive_reward_reject:lord_pretalk|You are a {man/woman} for whom justice is its own reward, eh? As you wish it, {playername}, as you wish it. An honourable sentiment, to be true. Regardless, you've my thanks for ridding me of that {s43}.
dlga_lord_hunt_down_fugitive_fail:lord_pretalk|It is a sad day when that {s43} manages to avoid the hand of justice yet again. I thought you would be able to do this, {playername}. Clearly I was wrong.
dlga_lord_active_mission_2:lord_active_mission_3|I am still working on it.
dlga_lord_active_mission_2:lord_mission_failed|I am afraid I won't be able to do this quest.
dlga_lord_active_mission_3:lord_pretalk|Good. Remember, I am counting on you.
dlga_lord_mission_failed:lord_pretalk|{s43}, 
dlga_lord_suggets_attack_enemy_castle3:lord_pretalk|That should be possible. Very well, we'll attack {s1}.
dlga_lord_propose_mercenary:lord_mercenary_service|As it happens, {playername}, I promised {s10} that I would hire a company of mercenaries for an upcoming campaign.
dlga_lord_mercenary_service:lord_mercenary_service_reject|I'm not interested, thank you.
dlga_lord_mercenary_service:lord_mercenary_service_accept|Aye, I'll join {s9}.
dlga_lord_mercenary_service:lord_mercenary_elaborate_pay|I'm interested. Please tell me more.
dlga_lord_mercenary_service_accept:lord_mercenary_service_verify|Perfect. Of course you shall have to make a formal declaration of allegiance, and give your oath that you and your company will remain in service to {s9} for a period of no less than one month.
dlga_lord_mercenary_service_verify:lord_mercenary_service_verify_2|As you wish. Your enemies are my enemies.
dlga_lord_mercenary_service_verify:lord_mercenary_service_reject|On second thought, forget it.
dlga_lord_mercenary_service_verify_2:lord_mercenary_service_accept_3|That will do. You've made a wise choice, my friend. {s9} does well by its loyal fighters, you will receive many rewards for your service.
dlga_lord_mercenary_service_accept_3:lord_pretalk|Now, I suggest you prepare for a serious campaign. Train and equip your soldiers as best you can in the meantime, and respond quickly when you are summoned for duty.
dlga_lord_mercenary_service_reject:lord_pretalk|I'm very sorry to hear that. You'll find no better place than {s9}, be sure of that.
dlga_lord_mercenary_elaborate_pay:lord_mercenary_elaborate_1|I can offer you a contract for one month. At the end of this period, it can be extended on a monthly basis. An initial sum of {reg12} denars will be paid to you to seal the contract. After that, you'll receive wages from {s10} each week, according to the number and quality of the soldiers in your company. You still have your rights to battlefield loot and salvage, as well as any prisoners you capture. War can be very profitable at times...
dlga_lord_mercenary_service_elaborate_duty:lord_mercenary_elaborate_1|Duties... There are only a few, none of them difficult. The very first thing is to declare your allegiance. An oath of loyalty to our cause. Once that's done, you shall be required to fulfill certain responsibilities. You'll participate in military campaigns, fulfill any duties given to you by your commanders, and most of all you shall attack the enemies of our kingdom wherever you might find them.
dlga_lord_mercenary_elaborate_1:lord_mercenary_service_elaborate_duty|And what about my duties as a mercenary?
dlga_lord_mercenary_elaborate_1:lord_mercenary_elaborate_castle|Can I hold on to any castles I take?
dlga_lord_mercenary_elaborate_1:lord_mercenary_elaborate_banner|Can I fly my own banner?
dlga_lord_mercenary_elaborate_1:lord_mercenary_elaborate_pay|How much will you pay me for my service?
dlga_lord_mercenary_elaborate_1:lord_mercenary_service_accept|Sounds good. I wish to enter your service as a mercenary.
dlga_lord_mercenary_elaborate_1:lord_mercenary_service_reject|Apologies, my sword is not for hire.
dlga_lord_mercenary_elaborate_castle:lord_mercenary_elaborate_1|Only my loyal vassals can own lands and castles in my realm -- and all my vassals are men.\I am not inclined to depart from this tradition without a very good reason. If you prove yourself in battle, you can swear an oath of homage to me and become my vassal.\We may then discuss how you may obtain a castle.
dlga_lord_mercenary_elaborate_castle:lord_mercenary_elaborate_1.1|Hmm... Only loyal vassals of {s10} can own lands and castles. While kings will sometimes accept vassalage from men who prove themselves in battle, and grant them land, I have never heard of a king who gave fiefs to women. You had best discuss that issue with {s10} himself.
dlga_lord_mercenary_elaborate_castle:lord_mercenary_elaborate_1.2|Only my loyal vassals can own lands and castles in my realm. A mercenary can not be trusted with such a responsibility. However, after serving for some time, you can swear homage to me and become my vassal. Then you will be rewarded with a fief.
dlga_lord_mercenary_elaborate_castle:lord_mercenary_elaborate_1.3|Only loyal vassals of {s10} can own lands and castles. You understand, a simple mercenary cannot be trusted with such responsibility. However, after serving for some time, you may earn the right to swear homage to {s10} and become his vassal. Then you would be rewarded with a fief.
dlga_lord_mercenary_elaborate_banner:lord_mercenary_elaborate_1|Only my noble vassals have the honour of carrying their own banners. However, after some time in mercenary service, you may earn the opportunity to swear homage to me and become my vassal, gaining the right to choose a banner of your own and fight under it in battle.
dlga_lord_mercenary_elaborate_banner:lord_mercenary_elaborate_1.1|Only noble vassals of {s10} have the honour of carrying their own banners. However, after some time of mercenary service, perhaps you can earn the opportunity to swear homage to {s10} and become his vassal, gaining the right to choose a banner of your own and fight under it in battle.
dlga_lord_request_mission_ask:lord_pretalk|You still haven't finished the last job I gave you, {playername}. You should be working on that, not asking me for other things to do.
dlga_lord_request_mission_ask:lord_pretalk.1|I don't have any other jobs for you right now.
dlga_lord_request_mission_ask:lord_tell_mission|A task?
dlga_lord_request_mission_ask:lord_pretalk.2|My lady, by the traditions of courtship, I should be offering my services to you. Unfortunately, I have little time right now, so I beg you to take this declaration of my esteem in its place.
dlga_lord_tell_mission:lord_tell_mission_sworn_vassal|There are some minor errands which I need completed, but it would be more appropriate to give them to one of my own men, not to a sworn vassal of the realm.
dlga_lord_tell_mission_sworn_vassal:lord_pretalk|If you are looking for action against our foes, you may join our attack on {s4}. The enemy may come in force to oppose us, so it is good to have as many men as possible.
dlga_lord_tell_mission_sworn_vassal:lord_pretalk.1|If you are looking for action against our foes, you may try venturing out to {s4}. We have received word that a force of the {s5} is in the area, and I am going there myself. I cannot guarantee you that our enemies will be there when you arrive, of course.
dlga_lord_tell_mission_sworn_vassal:lord_pretalk.2|If you are looking for action against our foes, you may try venturing out to {s4}. We have received word that a force of the {s5} is in the area. I am not currently headed that way, but others may be.  I cannot guarantee you that our enemies will be there when you arrive, of course.
dlga_lord_tell_mission_sworn_vassal:lord_pretalk.3|If a worthy task presents itself, however, I may have a favor to ask of you at a later date.
dlga_lord_tell_mission:destroy_lair_quest_brief|Yes -- there is something you can do for us. We have heard reports that a group of {s4} have established a hideout in this area, and have been attacking travellers. If you could find their lair and destroy it, we would be very grateful.
dlga_lord_tell_mission:lord_mission_rescue_prisoner|My {s11}, {s13}, has been taken prisoner by {s14} of the {s15}. Normally, honorable nobles will grant prisoners of gentle blood the privilege of parole, and treat them as honored guests so long as they give their word that they will not attempt to escape, until such time as a ransom can be paid.  But {s14}, instead of granting {s13} parole, has consigned my {s11} to his dungeons -- no doubt in the hope that he can demand more from us.
dlga_lord_mission_rescue_prisoner:lord_mission_rescue_prisoner_confirm|We need you to get my {s11} out of prison. You may be able to pay a ransom -- in which case we could cover your expenses, up to 5000 denars. If you have connections within {s24}, you may be able to use them to sneak him out. Or, you may try a more direct approach -- walk up to the gaoler, take the keys by force, and then fight your way out. Can you do this for us?
dlga_lord_mission_rescue_prisoner_confirm:lord_mission_rescue_prisoner_accepted|I can try.
dlga_lord_mission_rescue_prisoner_confirm:lord_mission_rescue_prisoner_rejected|I don't think that I can help you.
dlga_lord_mission_rescue_prisoner_rejected:close_window|It would not have been an easy task. Perhaps we will find another way.
dlga_lord_mission_rescue_prisoner_accepted:lord_mission_rescue_prisoner_method|We are most grateful. Could I ask you how you were planning to proceed?
dlga_lord_mission_rescue_other_ideas:lord_mission_rescue_prisoner_method|Did you have any other ideas which you wished to discuss?
dlga_lord_mission_rescue_prisoner_method:lord_mission_rescue_prisoner_method_prisonbreak|I am thinking of breaking into the prison in {s24}, finding {s13}, and fighting my way out.
dlga_lord_mission_rescue_prisoner_method:lord_mission_rescue_prisoner_method_siege|I am thinking of taking {s24} by storm.
dlga_lord_mission_rescue_prisoner_method:lord_mission_rescue_prisoner_planning_end|I have done enough planning. Time to act!
dlga_lord_mission_rescue_prisoner_planning_end:close_window|May the heavens protect you.
dlga_lord_mission_rescue_prisoner_method_prisonbreak:lord_mission_rescue_prisoner_method_prisonbreak_2|I had discussed this idea with some of my men. One could enter {s24}, either in disguise or openly, then walk up to the prison guard and try to take the keys by force. However, getting out may be difficult. The garrison may be slow to react, but even so, you are likely to find yourself fighting a half dozen or more of the enemy at once, with limited space in which to maneuver. If you can fight your way past them, though, you can probably get out, 
dlga_lord_mission_rescue_prisoner_method_prisonbreak_2:lord_mission_rescue_other_ideas|You may find it useful to create a distraction, to divert the attention of some of the garrison. If you have any connections in the villages near {s24}, this may be a time to put them to use.
dlga_lord_mission_rescue_prisoner_method_siege:lord_mission_rescue_other_ideas|Well, that is certainly the most direct approach.
dlga_lord_tell_mission:lord_mission_deliver_message|I need to send a letter to {s13} who should be currently at {s4}. If you will be heading towards there, would you deliver it to him? The letter needs to be in his hands in 30 days.
dlga_lord_mission_deliver_message:lord_mission_deliver_message_accepted|Certainly, I intend to pass by {s4} and it would be no trouble.
dlga_lord_mission_deliver_message:lord_mission_deliver_message_rejected|I doubt I'll be seeing {s13} anytime soon, {s65}. You'd best send it with someone else.
dlga_lord_mission_deliver_message:lord_mission_deliver_message_rejected_rudely|I am no errand boy, sir. Hire a courier for your trivialities.
dlga_lord_mission_deliver_message_accepted:close_window|I appreciate it, {playername}. Here's the letter, and a small sum to cover your travel expenses. Give my regards to {s13} when you see him.
dlga_lord_mission_deliver_message_rejected:lord_pretalk|Ah, all right then. Well, I am sure I will find someone else.
dlga_lord_mission_deliver_message_rejected_rudely:lord_mission_deliver_message_rejected_rudely_2|Hm, is this how you respond to a polite request for a small favor? A poor show, {playername}. I didn't know you would take offence.
dlga_lord_mission_deliver_message_rejected_rudely_2:lord_mission_deliver_message_rejected_rudely_3|Then you shall know better from now on.
dlga_lord_mission_deliver_message_rejected_rudely_2:lord_mission_deliver_message_accepted|Forgive my temper, {s65}. I'll deliver your letter.
dlga_lord_mission_deliver_message_rejected_rudely_3:close_window|All right. I will remember that.
dlga_lord_tell_mission:lord_mission_deliver_message.1|I need to deliver a letter to {s13} of {s15}, who must be at {s4} currently. If you are going towards there, would you deliver my letter to him? The letter needs to reach him in 40 days.
dlga_lord_tell_mission:lord_mission_told|There is a small thing... My {s17} {s13} is due for a visit to her relatives at {s14}. The visit has been postponed several times already with all the trouble on the roads, but this time she is adamant about going. So, I want to at least make sure she's well-guarded. I trust you well, {playername} so I would be very grateful if you could escort her to {s14} and make sure she arrives safe and sound.
dlga_lord_tell_mission:lord_mission_deal_with_bandits_told|A group of bandits have taken refuge in my village of {s15}. They are plundering nearby farms, and getting rich and fat stealing my taxes and feasting on my cattle.I'd like nothing better than to go out there and teach them a lesson, but I have my hands full at the moment, so I can't do anything about it.
dlga_lord_mission_deal_with_bandits_told:lord_mission_deal_with_bandits_accepted|Worry not, I can go to {s15} and deal with these scum for you.
dlga_lord_mission_deal_with_bandits_told:lord_mission_deal_with_bandits_rejected|You shall have to find help elsewhere, I am too busy.
dlga_lord_mission_deal_with_bandits_accepted:close_window|Will you do that? Know that, I will be grateful to you. Here is some money for the expenses of your campaign. Make an example of those {s43}s.
dlga_lord_mission_deal_with_bandits_rejected:lord_pretalk|Ah... Very well then, forget I brought it up.
dlga_lord_tell_mission:lord_tell_mission_raise_troops|No lord should have to admit this, {playername}, but I was inspecting my soldiers the other day and there are men here who don't know which end of a sword to hold. {s43} You are a warrior of renown, {playername}. Will you train some troops for me? I would be grateful to you.
dlga_lord_tell_mission_raise_troops:lord_tell_mission_raise_troops_2|How many men do you need?
dlga_lord_tell_mission_raise_troops_2:lord_mission_raise_troops_told|If you can raise {reg1} {s14} and bring them to me, that will probably be enough.
dlga_lord_mission_raise_troops_told:lord_mission_raise_troops_accepted|Of course, {s65}. Give me {reg1} fresh recruits and I'll train them to be {s14}.
dlga_lord_mission_raise_troops_told:lord_mission_raise_troops_rejected|I am too busy these days to train anyone.
dlga_lord_mission_raise_troops_accepted:close_window|You've taken a weight off my shoulders, {playername}. I shall tell my sergeants to send you the recruits and attach them to your command. Also, I'll advance you some money to help with expenses. Here, this purse should do it. Thank you for your help.
dlga_lord_mission_raise_troops_rejected:lord_pretalk|Oh, of course. I had expected as much. Well, good luck to you then.
dlga_lord_tell_mission:lord_mission_collect_taxes_told|You probably know that I am the lord of the {reg9?town:village} of {s3}. However, it has been months since {s3} has delivered the taxes and rents due me as its rightful lord. Apparently the populace there has grown unruly lately and I need someone to go there and remind them of their obligations. And to . . . persuade them if they won't listen. If you go there and raise the taxes they owe me, I will grant you one-fifth of everything you collect.
dlga_lord_mission_collect_taxes_told:lord_mission_collect_taxes_accepted|A fair offer, {s65}. We have an agreement.
dlga_lord_mission_collect_taxes_told:lord_mission_collect_taxes_rejected|Forgive me, I don't have the time.
dlga_lord_mission_collect_taxes_accepted:close_window|Welcome news, {playername}. I will entrust this matter to you. Remember, those {reg9?townsmen:peasants} are foxy beasts, they will make every excuse not to pay me my rightful incomes. Do not let them fool you.
dlga_lord_mission_collect_taxes_rejected:lord_pretalk|Oh, yes. Well, good luck to you then.
dlga_lord_tell_mission:lord_mission_hunt_down_fugitive_told|I have something you could help with, an issue with the lawless villain known as {s4}.  He murdered one of my men and has been on the run from his judgment ever since. I can't let him get away with avoiding justice, so I've put a bounty of 300 denars on his head. Friends of the murdered man reckon that this assassin may have taken refuge with his kinsmen at {s3}. You might be able to hunt him down and give him what he deserves, and claim the bounty for yourself.
dlga_lord_mission_hunt_down_fugitive_told:lord_mission_hunt_down_fugitive_accepted|Then I will hunt him down and execute the law.
dlga_lord_mission_hunt_down_fugitive_told:lord_mission_hunt_down_fugitive_rejected|I am too busy to go after him at the moment.
dlga_lord_mission_hunt_down_fugitive_accepted:close_window|That's excellent, {playername}. I will be grateful to you and so will the family of the man he murdered. And of course the bounty on his head will be yours if you can get him. Well, good hunting to you.
dlga_lord_mission_hunt_down_fugitive_rejected:lord_pretalk|As you wish, {playername}.I suppose there are plenty of bounty hunters around to get the job done . . .
dlga_lord_tell_mission:lord_mission_told_kill_local_merchant|The wretched truth is that I owe a considerable sum of money to one of the merchants here in {s3}. I've no intention of paying it back, of course, but that loud-mouthed fool is making a terrible fuss about it. He even had the audacity to come and threaten me -- me! -- with a letter of complaint to the trade guilds and bankers. Why, he'd ruin my good reputation! So I need a {man/woman} I can trust, someone who will guarantee the man's silence. For good.
dlga_lord_mission_told_kill_local_merchant:lord_mission_accepted_kill_local_merchant|Worry not, he shan't breathe a word.
dlga_lord_mission_told_kill_local_merchant:lord_mission_rejected|I'm no common murderer, sir. Find someone else for your dirty job.
dlga_lord_mission_accepted_kill_local_merchant:close_window|Very good. I trust in your skill and discretion, {playername}. Do not disappoint me. Go now and wait for my word, I'll send you a message telling when and where you can catch the merchant. Dispose of him for me and I shall reward you generously.
dlga_lord_tell_mission:lord_mission_told_meet_spy_in_enemy_town|I have a sensitive matter which needs tending to, {playername}, and no trustworthy retainers to take care of it. The fact is that I have a spy in {s13} to keep an eye on things for me, and report anything that might warrant my attention. Every week I send someone to collect the spy's reports and bring them back to me. The job's yours if you wish it.
dlga_lord_mission_told_meet_spy_in_enemy_town:quest_meet_spy_in_enemy_town_accepted|I don't mind a bit of skullduggery. Count me in.
dlga_lord_mission_told_meet_spy_in_enemy_town:quest_meet_spy_in_enemy_town_rejected|I must decline. This cloak-and-dagger work isn't fit for me.
dlga_quest_meet_spy_in_enemy_town_accepted:quest_meet_spy_in_enemy_town_accepted_response|Excellent! Make your way to {s13} as soon as you can, the spy will be waiting.
dlga_quest_meet_spy_in_enemy_town_accepted_response:quest_meet_spy_in_enemy_town_accepted_2|{s13} is heavily defended. How can I get close without being noticed?
dlga_quest_meet_spy_in_enemy_town_accepted_2:quest_meet_spy_in_enemy_town_accepted_response|You shall have to use stealth. Take care to avoid enemy strongholds, villages and patrols, and don't bring too many men with you. If you fail to sneak in the first time, give it a while for the garrison to lower its guard again, or you may have a difficult time infiltrating the town.
dlga_quest_meet_spy_in_enemy_town_accepted_response:quest_meet_spy_in_enemy_town_accepted_3|How will I recognise the spy?
dlga_quest_meet_spy_in_enemy_town_accepted_3:quest_meet_spy_in_enemy_town_accepted_response|Once you get to {s13} you must talk to the locals, the spy will be one of them. If you think you've found the spy, say the phrase '{s11}' The spy will respond with the phrase '{s12}' Thus you will know the other, and {reg7?she:he} will give you any information {reg7?she:he}'s gathered in my service.
dlga_quest_meet_spy_in_enemy_town_accepted_response:quest_meet_spy_in_enemy_town_accepted_4|Will I be paid?
dlga_quest_meet_spy_in_enemy_town_accepted_4:quest_meet_spy_in_enemy_town_accepted_response|Of course, I have plenty of silver in my coffers for loyal {men/women} like you. Do well by me, {playername}, and you'll rise high.
dlga_quest_meet_spy_in_enemy_town_accepted_response:quest_meet_spy_in_enemy_town_accepted_end|I know what to do. Farewell, my lord.
dlga_quest_meet_spy_in_enemy_town_accepted_end:lord_pretalk|Good luck, {playername}. Remember, the secret phrase is '{s11}' The counterphrase is '{s12}' Bring any reports back to me, and I'll compensate you for your trouble.
dlga_quest_meet_spy_in_enemy_town_rejected:lord_pretalk|As you wish, {playername}, but I strongly advise you to forget anything I told you about any spies. They do not exist, have never existed, and no one will ever find them. Remember that.
dlga_lord_tell_mission:lord_mission_told_raid_caravan_to_start_war|This peace with {s13} ill suits me, {playername}. We've let those swine have their way for far too long. Now they get stronger with each passing and their arrogance knows no bounds. I say, we must wage war on them before it's too late! Unfortunately, some of the bleeding hearts among our realm's lords are blocking a possible declaration of war. Witless cowards with no stomach for blood.
dlga_lord_mission_told_raid_caravan_to_start_war:lord_mission_tell_raid_caravan_to_start_war_2|You are right, {s65}, but what can we do?
dlga_lord_mission_told_raid_caravan_to_start_war:quest_raid_caravan_to_start_war_rejected_1|I disagree, sir. It is better that there be peace.
dlga_lord_mission_tell_raid_caravan_to_start_war_2:lord_mission_tell_raid_caravan_to_start_war_3|Ah, tis good to hear someone who understands! As a matter of fact, there is something we can do, {playername}. A little bit of provocation... If one of our war parties managed to enter their territory and pillage one of their caravans, or raided one of their villages, and perhaps left behind a little token or two of the {s14}, they would have ample cause to declare war on us. And then, well, even the cowards among us must rise to defend themselves. So what do you say? Are you interested?
dlga_lord_mission_tell_raid_caravan_to_start_war_3:quest_raid_caravan_to_start_war_accepted|An excellent plan. Count me in.
dlga_lord_mission_tell_raid_caravan_to_start_war_3:lord_mission_tell_raid_caravan_to_start_war_4|Why don't you do that yourself?
dlga_lord_mission_tell_raid_caravan_to_start_war_4:lord_mission_tell_raid_caravan_to_start_war_5|Well, {playername}, some of the lords in our kingdom won't like the idea of someone inciting a war without their consent. They are already looking for an excuse to get at me, and if I did this they could make me pay for it dearly. You, on the other hand, are young and well-liked and daring, so you might just get away with it. And of course I will back you up and defend your actions against your opponents. All in all, a few lords might be upset at your endeavour, but I am sure you won't be bothered with that, 
dlga_lord_mission_tell_raid_caravan_to_start_war_5:quest_raid_caravan_to_start_war_accepted|That seems reasonable. I am willing to do this.
dlga_lord_mission_tell_raid_caravan_to_start_war_5:quest_raid_caravan_to_start_war_rejected_2|I don't like this. Find yourself someone else to take the blame for your schemes.
dlga_quest_raid_caravan_to_start_war_accepted:close_window|Very good! A raid on a caravan, or, if you can't manage that, an attack on one of their villages, should do the trick. Now, good luck and good hunting. Go set the borders aflame!
dlga_quest_raid_caravan_to_start_war_rejected_1:lord_pretalk|Ah, you think so? But how long will your precious peace last? Not long, believe me.
dlga_quest_raid_caravan_to_start_war_rejected_2:lord_pretalk|Hm. As you wish, {playername}. I thought you had some fire in you, but it seems I was wrong.
dlga_lord_tell_mission:lord_mission_told.1|Well, some of the serfs working my fields in {s4} have run away. The ungrateful swine, I let them plough my fields and rent my cottages, and this is how they repay me! From what I've been hearing, they're running to {s3} as fast as they can, and have split up into three groups to try and avoid capture. I want you to capture all three groups and fetch them back to {s4} by whatever means necessary. I should really have them hanged for attempting to escape, but we need hands for the upcoming harvest, so I'll let them go off this time with a good beating.
dlga_lord_tell_mission:lord_tell_mission_follow_spy|I have good information that a man in this very town is actually an enemy spy. He should be seized and hanged for his impudence, but we also believe that very soon he will leave town to meet with his master, the man to whom the spy feeds all his little whispers. The spy himself is of little import, but the master is a dangerous man, and could tell us a great deal if we could only get our hands on him...
dlga_lord_tell_mission_follow_spy:lord_tell_mission_follow_spy_2|I want you to wait here until the spy leaves town. Then you must follow him, stealthily, to the meeting place. You must take absolute care not to be seen by the spy on your way, else he may suspect foul play and turn back. When the master appears, you must ambush and arrest them and bring the pair back to me. Alive, if you please.
dlga_lord_tell_mission_follow_spy_2:lord_tell_mission_follow_spy_accepted|I'll do it, {s65}.
dlga_lord_tell_mission_follow_spy_2:lord_tell_mission_follow_spy_rejected|No, this skulking is not for me.
dlga_lord_tell_mission_follow_spy_accepted:close_window|Good, I'm sure you'll do a fine job of it. One of my men will point the spy out to you when he leaves, so you will know the man to follow. Remember, I want them both, and I want them alive.
dlga_lord_tell_mission_follow_spy_rejected:lord_pretalk|A shame. Well, carry on as you were, {playername}...
dlga_lord_tell_mission:lord_tell_mission_capture_enemy_hero|There is a difficult job I need done, {playername}, and you may be the {man/one} who can carry it off. I need someone to capture one of the noble lords of {s13} and bring him to me. Afterwards, I'll be able to exchange him in return for a relative of mine held by {s13}. It is a simple enough job, but whomever you choose will be guarded by an elite band of personal retainers. Are you up for a fight?
dlga_lord_tell_mission_capture_enemy_hero:lord_tell_mission_capture_enemy_hero_accepted|Consider it done, {s65}.
dlga_lord_tell_mission_capture_enemy_hero:lord_tell_mission_capture_enemy_hero_rejected|I must refuse, {s65}. I am not a kidnapper.
dlga_lord_tell_mission_capture_enemy_hero_accepted:close_window|I like your spirit! Go and bring me one of our enemies, and I'll toast your name in my hall when you return! And reward you for your efforts, of course...
dlga_lord_tell_mission_capture_enemy_hero_rejected:lord_pretalk|Clearly you lack the mettle I had thought you possessed. Very well, {playername}, I will find someone else.
dlga_lord_tell_mission:lord_tell_mission_lend_companion|I don't have a job for you right now, but your companion {s3} is a skilled {reg3?lass:fellow} and I need someone with {reg3?her:his} talents. Will you lend {reg3?her:him} to me for a while?
dlga_lord_tell_mission_lend_companion:lord_tell_mission_lend_companion_2|How long will you be needing {reg3?her:him}?
dlga_lord_tell_mission_lend_companion_2:lord_mission_lend_companion_told|Just a few days, a week at most.
dlga_lord_mission_lend_companion_told:lord_tell_mission_lend_companion_accepted|Then I will leave {s3} with you for one week.
dlga_lord_mission_lend_companion_told:lord_tell_mission_lend_companion_rejected|I am sorry, but I cannot do without {s3} for a whole week.
dlga_lord_tell_mission_lend_companion_accepted:close_window|I cannot thank you enough, {playername}. Worry not, your companion shall be returned to you with due haste.
dlga_lord_tell_mission_lend_companion_rejected:lord_pretalk|Well, that's damned unfortunate, but I suppose I cannot force you or {s3} to agree. I shall have to make do without.
dlga_lord_tell_mission:lord_tell_mission_collect_debt|Some time ago, I loaned out a considerable sum of money to {s3}. {reg4} denars, to be precise. He was supposed to pay it back within a month but I haven't received a copper from him since. That was months ago. If you could collect the debt from him on my behalf, I would be grateful indeed. I would even let you keep one fifth of the money for your trouble. What do you say?
dlga_lord_tell_mission_collect_debt:lord_tell_mission_collect_debt_2|Do you know where I can find {s3}, {s65}?
dlga_lord_tell_mission_collect_debt_2:lord_tell_mission_collect_debt_3|If you leave now, you should be able to find him at {s4}. I've no doubt that he will be suitably embarassed by his conduct and give you all the money he owes me.
dlga_lord_tell_mission_collect_debt_3:lord_tell_mission_collect_debt_accepted|Then I will talk to {s3} on your behalf.
dlga_lord_tell_mission_collect_debt_3:lord_tell_mission_collect_debt_rejected|Forgive me, {s65}, but I doubt I would be more successful than yourself.
dlga_lord_tell_mission_collect_debt_accepted:close_window|You made me very happy by accepting this {playername}. Please, talk to {s3} and don't leave him without my money.
dlga_lord_tell_mission_collect_debt_rejected:lord_pretalk|Perhaps not, {playername}. I suppose I'm never getting that money back...
dlga_lord_tell_mission:lord_tell_mission_incriminate_commander|I tell you, that blubbering fool {s13} is not fit to rule {s14}. God knows he would be divested of his lands in an instant were it not for one of his loyal vassals, {s15}. As long as he has his vassal aiding him, it will be a difficult job beating him. So I need to get {s15} out of the picture, and I have a plan just to do that... With your help, naturally.
dlga_lord_tell_mission_incriminate_commander:lord_tell_mission_incriminate_commander_2|{s66}, I am all ears.
dlga_lord_tell_mission_incriminate_commander:lord_tell_mission_incriminate_commander_rejected|I don't wish to involve myself in anything dishonourable against {s15}.
dlga_lord_tell_mission_incriminate_commander_rejected:lord_pretalk|Dishonourable? Bah! I was hoping I could count on you, {playername}, but you've shown me what a fool I was. I shall have to find someone whose loyalty I can trust.
